Height,Weight
73.8470170175,241.8935631804
68.7819040459,162.3104725213
74.1101053918,212.7408555565
71.7309784033,220.0424703031
69.8817958611,206.3498006239
67.2530156878,152.2121557571
68.7850812517,183.927888604
68.3485155116,167.9711104895
67.0189496629,175.9294403957
63.4564939784,156.3996763871
71.195382283,186.6049255604
71.6408051192,213.7411694894
64.7663291334,167.1274610735
69.2830700967,189.4461813867
69.2437322298,186.4341680212
67.6456197004,172.1869300581
72.418316626,196.0285063305
63.9743257211,172.8834702088
69.6400598998,185.9839575731
67.936004854,182.4266480132
67.9150501938,174.1159290814
69.439439868,197.7314216147
66.1491319609,149.173566008
75.2059736142,228.7617806152
67.8931963386,162.0066518483
68.1440327982,192.3439765792
69.0896314289,184.4351744084
72.8008435165,206.8281894204
67.4212422817,175.2139223992
68.4964153569,154.342638926
68.6181105502,187.5068431558
74.0338076217,212.9102253255
71.5282160356,195.0322432338
69.1801610996,205.1836213414
69.5772023654,204.1641254841
70.4009288885,192.9035150746
69.0761711675,197.4882425989
67.1935232827,183.8109732328
65.8073156549,163.8518248786
64.3041878916,163.1080171476
67.9743362272,172.1355974068
72.1894259592,194.0454048981
65.270345524,168.6177462043
66.0901773763,161.1934325966
67.5103215157,164.660277264
70.1047862552,188.9223031513
68.2518364409,187.0605521638
72.1727091158,209.0708633903
69.1798576189,192.014335412
72.8703601472,211.3424968196
64.782582978,165.6116261823
70.1835498875,201.0719180996
68.4914502529,173.4239603466
67.330830881,181.4076792859
66.9909440825,169.7377074003
66.4995499002,163.3095283097
68.3530566464,189.7102099425
70.7744590704,192.1248473462
71.2159236695,198.1984641076
70.0133653491,209.5264998371
71.4031822208,198.7597926599
69.5520050948,198.0795236544
73.8185345578,195.2906121897
66.9968827523,164.943302997
71.4184658931,179.8639023393
65.279300209,155.250420694
68.2741914742,184.5193912486
72.7653699463,220.6780414653
68.0993798003,183.3126553072
68.8967060722,196.4513122912
69.2895099633,184.5956083003
70.5232245235,207.5328385185
69.6637252265,177.2009287523
67.5952688079,163.1080022094
72.5081203801,216.2182301127
71.2529856038,204.6554938223
71.8091868894,200.9205712195
72.2451654793,220.9017698811
66.5126276609,196.4498603408
66.0290340048,168.640810039
67.5771539427,181.4327130081
68.2465686016,198.6586733264
73.8261270026,237.9167358632
69.8024643605,173.0412559092
65.9595777849,160.6839166399
71.0790175757,188.6029190707
66.5961965372,208.3456940351
68.9515350928,193.4351184523
68.2444617923,174.1096937906
72.3168251228,197.3685892493
71.8154204495,201.6206667477
65.2370495188,181.0119732404
70.6405300907,182.1224859787
64.7319255973,177.5492634234
67.1035511824,164.9745806825
65.117484888,165.7171121901
71.701234023,193.0941635431
66.8328782059,180.6838869709
66.4712752615,172.7737229284
69.4115262206,177.4706162297
70.0521774745,200.8187373133
66.743604652,167.7397753443
66.2743291154,154.3956247792
68.3284479929,177.9847286039
70.0758881952,183.9388569568
68.7329881487,179.2047820686
67.5560512619,158.5679873854
66.2536325348,166.5035316429
69.1822026806,171.983677612
67.6091049416,174.3641823786
69.2927380219,187.7453518634
68.1906840077,201.4879623806
71.6070857989,204.9270121368
69.1968575103,178.6855464702
67.2619609791,164.014427742
73.6851934,223.2700044124
69.5372150073,202.9583062698
68.3115598415,189.3917856099
67.7389634664,178.1705555785
71.7057626011,223.2993352398
63.6322646038,167.0287066583
68.7211984557,180.4686820119
66.9493416502,164.4391456224
62.7069897353,149.969618421
72.2584089236,192.9102665517
70.9086530627,201.8839987006
67.6098436017,179.8680259845
70.8015589557,196.4677246739
69.3047690451,187.5516494914
66.2428983412,171.6931596857
67.4921929773,191.6996047843
65.8062482914,165.8506477849
71.4437056615,185.6627413239
68.4644058223,178.2818007299
63.987924605,150.9790512501
71.0018976858,209.9293234305
68.1397241926,174.1578043415
68.3954002481,179.8789771023
68.096219745,167.7471412476
68.1405903559,183.0446603721
68.8600903087,169.5568207822
66.1488525422,173.4316726604
66.206032053,180.8895546094
67.4321202147,183.5089328547
69.4711060312,205.9779101657
70.5158596943,183.7598451926
71.33837604,201.9544954667
71.0019447674,216.1200947369
66.2023477063,159.3903237442
72.5433070454,210.3364246619
67.479351758,178.61835016
65.3504105558,146.7397976358
70.8440624209,195.9370149743
69.9384752593,170.175853813
64.739815483,169.6540541212
69.3084028804,198.3786936436
68.8384628599,179.907716916
61.9373232677,147.2636865016
68.5933355351,176.9842511213
65.2185755781,185.4677883732
64.333648107,177.4938023389
68.7489067017,169.8274774196
72.4896554004,198.5816982498
67.2339309183,203.3503392748
67.2636048433,193.2176726874
65.1185042832,178.1349451788
66.2628200382,162.7795834047
67.7016796596,159.2865105989
65.5306959667,172.1143119512
69.8689698092,201.8370425949
68.4818753647,170.3523295506
72.2139633457,205.3897607086
68.1795326941,169.7877680759
71.9812065429,200.4373105287
66.0651367327,178.5889540372
66.6561641698,168.0140297383
67.5994241953,177.7664258399
68.2459440938,193.2776239995
64.8086214407,162.3795406396
67.4922182698,183.3838243915
68.1807307069,181.0560952854
69.5533849029,210.8717989571
66.4022496684,165.568499073
66.5921571147,196.1484498462
71.9358865828,202.0464251519
68.2870417279,170.4136024964
69.9554511952,201.9480852966
71.8511291454,193.3869845528
65.7554986407,179.8556896152
67.031852079,156.4899349982
76.7098348579,235.03541882
72.5711213713,230.5605349597
69.7288048974,203.8956549864
72.7992240046,218.216396639
72.5393540719,222.6671779215
72.2947433844,208.4748658906
67.2533248159,180.7797800138
75.944460376,231.9247485091
66.3162319187,170.5938581045
71.15605349,188.2714562883
71.1922022869,196.0615291634
72.1975120072,214.6035841704
75.1408214339,224.1242713296
64.4115293597,158.5793973234
64.7344243581,166.5011147453
63.414587138,160.1406156224
67.8486652336,176.1726342546
65.9317848288,174.4852946665
70.9665504363,193.9064987989
67.5807472773,186.9916067068
68.5892704379,173.5957960995
70.3247534442,193.346560304
72.3944804051,208.4365090382
70.8208567145,206.0329778008
65.903301261,172.5752309571
74.7953750218,232.6354028474
67.6809190343,177.2401454954
67.1559627687,175.6466902142
71.7748412248,212.6261022886
64.665231945,166.9692040097
68.1227683624,196.4144152751
66.7869272395,165.4312422256
66.8058498367,176.5658185577
67.886013798,174.6520347158
69.1735769192,195.2375293011
70.2249233264,205.6844383963
64.8557991776,158.3414423605
67.8210932715,169.0810082739
63.4402474671,135.6558758658
71.8484348479,218.1574694507
66.7280736471,155.899541329
71.9683056521,201.5281774305
76.0213474761,235.9260606487
71.4761012826,195.3926175775
67.3698086449,176.6361635674
70.5552437595,198.4602486001
69.8671012814,185.7169100237
67.9475700422,177.3477798185
74.1045588637,215.7597035238
69.1678362995,187.0224203016
66.5572285727,171.5878843169
66.7016049901,172.8398090781
67.2460649544,168.2802868939
69.051385485,163.8204889278
70.6727471767,190.0234341805
65.4989951214,156.8699516687
65.1872208536,172.6064825596
67.5681430061,169.0639829949
73.8153856882,231.3745081172
71.6065642084,207.2504767517
67.7247492359,172.152772178
68.2311319522,199.8277580228
65.9294217101,168.0904122158
71.5484957097,197.8196148333
69.164381122,196.8923150407
68.597659324,180.2217801023
71.0575108858,189.1340124359
63.6440595815,158.42271732
71.1824553956,208.9226826559
66.1286731698,187.1411194534
65.0573731151,157.5824315352
68.0913743588,181.6444449839
70.993143899,204.7466781748
74.2211748776,231.1301897593
69.3271181796,186.2584296144
64.9313421941,181.0938696389
68.3468423145,198.9209796678
70.9291250845,203.3704632159
61.4778092016,161.0287521419
68.4908127185,189.8066818422
72.0498898708,200.2028285066
72.5216670258,221.8626503085
71.2339113933,214.0601482209
72.2591151863,201.7014216174
67.5650399046,187.1870936322
72.267606995,196.5274668959
62.6002479976,151.7207037293
66.2364372918,167.2975302511
69.6504374124,198.8436959646
69.2859214062,178.7895479819
70.7252787374,193.539252116
68.82861496,197.7379050223
66.0144282335,184.461811521
66.4148820604,155.1947716869
66.6156243917,160.9919898712
68.0348217821,189.0844617351
70.5023980441,172.9857771462
69.1577294931,195.8952568572
70.7950226136,215.7464553052
65.1943771233,166.7073730594
74.7857143191,239.4643429027
71.0669062762,184.2792458331
69.334197786,199.9838909065
69.8992039506,191.4122311327
64.4251937918,169.1094014178
67.8521306986,194.744522494
67.549069488,183.2665331179
74.7674468449,210.3699087098
71.4189459864,198.0424838899
67.1203443862,172.6640903751
69.859587912,197.0708561579
68.4308133914,190.5058100396
67.933482607,184.5554831053
68.4953431553,179.9298166479
65.2441434107,159.5032197654
70.185352047,197.8845070712
71.1041331645,217.2696051983
68.4475785431,187.9074259866
65.4205768241,176.8616842379
67.7007881137,185.1482021018
74.2230630621,223.3080403045
71.1672458709,206.9429817761
67.23077189,171.016940601
67.8805591937,175.2228479654
67.3763754685,173.3103955519
68.761246929,181.125973502
71.705272501,202.609008338
69.3809947927,199.8509200488
73.7165276342,223.5147223443
69.4533762078,219.2617066668
70.7862898094,211.2160809235
71.7684637369,200.7989829674
69.3434539586,208.8097753376
65.2860255086,161.4200816585
70.9218444138,207.8359445618
68.5966626864,180.8312377555
68.6037964329,176.8154762097
69.4787441198,194.6037685027
65.930896215,163.0084316533
68.523345298,173.2706571548
73.9291241262,215.6200354272
71.1979378222,210.134529042
66.556586873,185.042324085
71.7422762292,187.9653553595
69.7448293317,188.1811248482
66.7506541257,179.5420171432
69.6924222572,211.7184289617
70.4035168308,197.6921420835
69.0197361099,186.287991991
64.7322871553,166.1060724374
70.9980744409,188.8117699769
64.4598142531,161.378773212
69.749522583,193.4762588312
71.5268488122,189.2822460998
68.327915864,207.784924645
70.7647201641,199.3230942593
71.4190496342,209.8582566047
69.3904740949,180.1754727639
72.0017322178,196.2144144814
69.1914749733,189.4388403515
66.1663632832,165.5146074331
67.2721429952,182.3943346924
70.9158354035,189.5576374601
69.1198877897,189.6259140763
67.4090258713,170.1913254292
72.9386490402,216.0974547198
70.490928696,177.0677743508
69.0082594619,196.051188755
66.7621099176,167.7004962313
69.1206637295,179.6078700511
73.1262671879,220.6614050938
67.4868238954,164.2952412526
64.955078335,156.5447863495
67.782489075,183.6810290381
67.662398796,170.3054934905
66.4763970065,168.6272639128
72.987070201,209.6379744894
69.5632322772,195.3460269704
71.0035601395,194.3226013602
69.9156373621,219.3679167472
71.697141788,205.1617482864
67.6499408575,178.8826336657
68.2955545645,181.7249314658
68.6872556737,203.5603338361
68.9157716453,165.1558986834
68.9608796728,197.9314295503
67.2472352042,173.2840330133
68.9158636411,183.9477889
65.8385445036,139.5340469401
64.6710755478,160.1885313441
66.2958977236,163.6040021919
67.0975857472,193.9551074438
66.9982897328,189.8933424944
70.9619709026,184.2239320437
68.4208722048,190.7955421696
67.6525275866,188.2006793809
75.6201931583,226.2077798694
70.5492420222,197.8793731049
68.8908389093,190.5134869036
68.2845319195,176.2465834363
64.9950782592,177.7270944984
65.5757715427,173.6915921942
69.3060882403,210.4636875406
65.7047154222,170.1005633182
67.8039910103,173.459891806
69.2161473119,184.9366903226
68.0150060089,194.2869459473
61.9269489434,149.1496848377
67.2663627156,192.4707695606
67.6768218539,179.7508079824
69.970903616,202.8632930321
65.3134615369,163.3573315189
71.9060054406,217.0277146437
66.2339040422,183.1612324557
65.8149428242,166.5836105075
72.844947855,205.2508891511
70.9494434526,189.703088824
71.3438076277,218.5863363974
71.055664158,203.1394330256
61.9255472948,139.9050703154
68.7624575579,196.2938058749
67.5839414256,179.9370111672
67.3616946689,164.1459223974
65.8791565563,168.1748643707
68.6947621511,189.7425419036
69.5348615536,195.1703914989
66.6346908283,190.4679587792
69.8099015737,204.426598301
68.6798736853,196.1516228236
71.6151787503,209.6707738792
69.6897953335,190.9334004899
70.9010863653,197.9448323621
68.0058139923,186.7803378496
70.6157439784,188.6638321178
71.5711941576,176.3766427661
73.012863263,209.3294833694
60.7481178675,136.1678657242
69.0821196255,190.935182501
69.338737628,191.445654281
67.7571377116,184.9382299108
76.0270818631,232.3134709695
72.2276161601,201.7788539504
68.921041345,188.3288070615
65.3349276808,174.6556972502
65.9324034518,183.9433387552
70.4666893102,187.5174420175
73.1810436211,213.8474528722
68.5508796865,175.2195187957
68.5294082503,169.5448054454
63.5964554205,144.5919224212
67.1442412278,175.6791901767
70.8163706159,197.1984015611
73.5302848078,222.9259166993
66.1410689194,165.4045453377
67.9068497484,170.4172312133
71.4333758216,216.6339996877
67.112679798,173.7075042367
73.2839179656,217.8960397423
63.6725831541,161.0131458389
69.2253203014,193.7563257989
69.6701240249,177.1191607254
70.4854481657,204.8274497379
69.0046778667,176.7318924789
68.4578940081,192.761885655
66.0247337825,166.9610204734
69.3181691253,186.7379955483
69.0777405647,188.5061787107
73.5622703668,208.3614918129
66.0876888866,161.495814308
73.5259843332,214.9664591998
69.6790602157,205.1334354987
66.6767811169,183.19730684
72.9616654677,208.8950442859
68.2468721445,207.9255765452
71.9566258887,210.6638278121
71.0586333491,204.2728377454
66.9769499483,195.1987301073
68.4780020757,190.6860225301
71.2844413913,199.6353265785
64.980456291,166.8215473459
66.7618838734,178.7975089751
68.7661617239,185.7721575059
68.9925435672,193.7549909361
71.2951945956,228.8005160941
69.0494784004,192.3497017124
66.5414820163,175.9834911376
68.5155234451,176.1412391639
67.4597153132,177.4825249084
71.3573824127,201.7607768827
68.5904060417,176.8430799262
69.7360867069,185.5242603516
69.833857067,188.0410290206
72.4105857637,189.3844382925
65.4345968679,166.0967440205
66.2676567702,170.2501786536
69.9743008733,212.80425896
71.2091942237,196.1455062085
69.9374001925,202.2790696793
71.386022193,201.332006891
64.5887816699,158.4540944464
68.7929844159,174.4894862641
68.4457467281,183.7833826853
69.2015781221,188.1035061127
69.4260173089,176.1934298238
69.6062252014,194.2007118759
72.8817069731,194.1995088714
62.1783312218,145.8988423738
68.8747066201,191.8337091737
71.0800835586,209.8535536407
72.1825341217,201.2614643916
72.062754978,208.7818533875
67.3800578934,182.6734053877
67.934634533,166.435068827
70.8019302593,193.3935426145
65.5491212719,178.4481797342
70.1912244815,205.9417906715
71.7789953683,199.2098424412
68.1302884152,192.0295665716
68.3594825628,175.2608644294
66.0903570132,170.0064451045
71.5801231388,205.3475962061
73.5366677229,196.0432950717
71.1155318413,208.1452566457
70.7943025458,202.8907578257
71.7290604847,188.595023951
63.1965303694,162.4297274487
68.1011134091,182.8523990973
65.8560997292,157.3174613643
68.3464565014,178.6759920675
69.56022893,187.2174859317
68.7283040728,171.6209665705
70.1582776521,200.5341783042
68.9233366539,193.9273604102
64.300174198,155.4897289646
70.4556330558,192.5279049595
68.6240631903,159.8624674006
69.6647517446,176.2592743978
69.0588845405,171.7089262736
67.2269862253,181.7096189322
66.115799695,171.386659244
68.6173873457,179.1320245979
69.2490128135,187.4693713912
69.6419061836,182.0045223025
72.7970283571,214.474035549
75.0439950722,208.5264269755
70.9726841309,190.221992861
74.3880124252,217.1437904933
64.3621638717,156.0738985152
71.3270010663,206.3851911448
67.1720244421,178.1527814335
74.4016718853,228.8383958011
63.8679209596,174.4733628929
68.8859917669,164.2149025819
72.1319902244,212.1572757001
68.4037261693,206.0149398081
65.0926563919,167.4335329845
69.2296791159,195.2186396961
71.9477882649,209.175489088
